Users,Breed,Age,Training,Rating,Difficulty Level,Dog Response,Duration Preferences
621,Golden Retriever,10,On and Off Sight Stay,2,Basic,Quick Learner,Medium Sessions
622,Shih Tzu,17,Off Leash Down Stay,3,Advanced,Quick Learner,Medium Sessions
623,Labrador Retriever,6,Off Leash Sit,2,Intermediate,Very Responsive,Medium Sessions
624,Pomeranian,15,Off Leash Down Stay,4,Advanced,Quick Learner,Multiple Short Sessions per Day
625,German Shepherd,3,Off Leash Sit Stay,3,Basic,Working on Tricks,Multiple Short Sessions per Day
626,Pomeranian,20,Heel,4,Advanced,Confident Learner,Multiple Short Sessions per Day
627,Labrador Retriever,10,Off Leash Sit Stay,3.3,Basic,Quick Learner,Multiple Short Sessions per Day
628,Aspin,19,Down Stay,4.3,Advanced,Needs More Guidance,Long Sessions
629,Siberian Husky,6,Off Leash Sit Stay,2.9,Intermediate,Confident Learner,Multiple Short Sessions per Day
630,Beagle,18,Shake Hands,4,Advanced,Focused but Distractible,Multiple Short Sessions per Day
631,Golden Retriever,21,On and Off Sight Stay,3.7,Advanced,Confident Learner,No strict preference
632,Shih Tzu,16,Off Leash Down,2.3,Advanced,Working on Tricks,Long Sessions
633,Bulldog,20,Off Leash Down Stay,5,Basic,Working on Tricks,Long Sessions
634,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
635,German Shepherd,17,Roll Over,3.1,Intermediate,Focused but Distractible,Multiple Short Sessions per Day
636,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
637,Shih Tzu,18,Long Stay Off Leash,4,Basic,Needs More Guidance,Multiple Short Sessions per Day
638,Golden Retriever,10,On and Off Sight Stay,2,Advanced,Quick Learner,Medium Sessions
639,Shih Tzu,17,Off Leash Down Stay,3,Basic,Quick Learner,Medium Sessions
640,Labrador Retriever,6,Off Leash Sit,2,Advanced,Very Responsive,Medium Sessions
641,Pomeranian,15,Off Leash Down Stay,4,Intermediate,Quick Learner,Multiple Short Sessions per Day
642,German Shepherd,3,Off Leash Sit Stay,3,Advanced,Working on Tricks,Multiple Short Sessions per Day
643,Pomeranian,20,Heel,4,Basic,Confident Learner,Multiple Short Sessions per Day
644,Labrador Retriever,10,Off Leash Sit Stay,3.3,Advanced,Quick Learner,Multiple Short Sessions per Day
645,Aspin,19,Down Stay,4.3,Advanced,Needs More Guidance,Long Sessions
646,Siberian Husky,6,Off Leash Sit Stay,2.9,Advanced,Confident Learner,Multiple Short Sessions per Day
647,Beagle,18,Shake Hands,4,Advanced,Focused but Distractible,Multiple Short Sessions per Day
648,Golden Retriever,21,On and Off Sight Stay,3.7,Advanced,Confident Learner,No strict preference
649,Bulldog,20,Off Leash Down Stay,5,Basic,Working on Tricks,Long Sessions
650,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
651,German Shepherd,17,Roll Over,3.1,Intermediate,Focused but Distractible,Multiple Short Sessions per Day
652,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
653,Shih Tzu,18,Long Stay Off Leash,4,Basic,Needs More Guidance,Multiple Short Sessions per Day
654,Golden Retriever,10,On and Off Sight Stay,2,Advanced,Quick Learner,Medium Sessions
655,Shih Tzu,17,Off Leash Down Stay,3,Basic,Quick Learner,Medium Sessions
656,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
657,Aspin,15,Off Leash Sit,4.2,Intermediate,Focused but Distractible,Medium Sessions
658,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
659,Pug,6,Loose Leash Walking,2,Basic,Focused but Distractible,Short Sessions
660,Shih Tzu,18,Long Stay Off Leash,4,Advanced,Needs More Guidance,Multiple Short Sessions per Day
661,Golden Retriever,10,On and Off Sight Stay,2,Advanced,Quick Learner,Medium Sessions
662,Shih Tzu,17,Off Leash Down Stay,3,Advanced,Quick Learner,Medium Sessions
663,Labrador Retriever,6,Off Leash Sit,2,Basic,Very Responsive,Medium Sessions
664,Pomeranian,15,Off Leash Down Stay,4,Advanced,Quick Learner,Multiple Short Sessions per Day
665,German Shepherd,3,Off Leash Sit Stay,3,Intermediate,Working on Tricks,Multiple Short Sessions per Day
666,Pomeranian,20,Heel,4,Advanced,Confident Learner,Multiple Short Sessions per Day
667,Labrador Retriever,10,Off Leash Sit Stay,3.3,Basic,Quick Learner,Multiple Short Sessions per Day
668,Aspin,19,Down Stay,4.3,Advanced,Needs More Guidance,Long Sessions
669,Siberian Husky,6,Off Leash Sit Stay,2.9,Basic,Confident Learner,Multiple Short Sessions per Day
670,Beagle,18,Shake Hands,4,Advanced,Focused but Distractible,Multiple Short Sessions per Day
671,Golden Retriever,21,On and Off Sight Stay,3.7,Intermediate,Confident Learner,No strict preference
672,Shih Tzu,16,Off Leash Down,2.3,Advanced,Working on Tricks,Long Sessions
673,Rottweiler,8,Off Leash Commands,5,Basic,Very Responsive,Multiple Short Sessions per Day
674,Golden Retriever,10,Off Leash Commands,5,Advanced,Working on Tricks,Long Sessions
675,Shih Tzu,16,Off Leash Down,2.3,Advanced,Working on Tricks,Long Sessions
676,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
677,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
678,German Shepherd,17,Roll Over,3.1,Basic,Focused but Distractible,Multiple Short Sessions per Day
679,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
680,Shih Tzu,18,Long Stay Off Leash,4,Intermediate,Needs More Guidance,Multiple Short Sessions per Day
681,Golden Retriever,10,On and Off Sight Stay,2,Advanced,Quick Learner,Medium Sessions
682,Shih Tzu,17,Off Leash Down Stay,3,Basic,Quick Learner,Medium Sessions
683,Labrador Retriever,6,Off Leash Sit,2,Advanced,Very Responsive,Medium Sessions
684,Pomeranian,15,Off Leash Down Stay,4,Basic,Quick Learner,Multiple Short Sessions per Day
685,German Shepherd,3,Off Leash Sit Stay,3,Advanced,Working on Tricks,Multiple Short Sessions per Day
686,Pomeranian,20,Heel,4,Intermediate,Confident Learner,Multiple Short Sessions per Day
687,Labrador Retriever,10,Off Leash Sit Stay,3.3,Advanced,Quick Learner,Multiple Short Sessions per Day
688,Aspin,19,Down Stay,4.3,Advanced,Needs More Guidance,Long Sessions
689,Siberian Husky,6,Off Leash Sit Stay,2.9,Advanced,Confident Learner,Multiple Short Sessions per Day
690,Beagle,18,Shake Hands,4,Advanced,Focused but Distractible,Multiple Short Sessions per Day
691,Golden Retriever,21,On and Off Sight Stay,3.7,Basic,Confident Learner,No strict preference
692,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
693,Aspin,15,Off Leash Sit,4.2,Intermediate,Focused but Distractible,Medium Sessions
694,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
695,Pug,6,Loose Leash Walking,2,Basic,Focused but Distractible,Short Sessions
696,Shih Tzu,18,Long Stay Off Leash,4,Advanced,Needs More Guidance,Multiple Short Sessions per Day
697,Golden Retriever,10,On and Off Sight Stay,2,Basic,Quick Learner,Medium Sessions
698,Shih Tzu,17,Off Leash Down Stay,3,Advanced,Quick Learner,Medium Sessions
699,Labrador Retriever,6,Off Leash Sit,2,Intermediate,Very Responsive,Medium Sessions
700,Pomeranian,15,Off Leash Down Stay,4,Advanced,Quick Learner,Multiple Short Sessions per Day
701,German Shepherd,3,Off Leash Sit Stay,3,Basic,Working on Tricks,Multiple Short Sessions per Day
702,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
703,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
704,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
705,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
706,Shih Tzu,18,Long Stay Off Leash,4,Basic,Needs More Guidance,Multiple Short Sessions per Day
707,Golden Retriever,10,On and Off Sight Stay,2,Advanced,Quick Learner,Medium Sessions
708,Shih Tzu,17,Off Leash Down Stay,3,Intermediate,Quick Learner,Medium Sessions
709,Labrador Retriever,6,Off Leash Sit,2,Advanced,Very Responsive,Medium Sessions
710,Pomeranian,15,Off Leash Down Stay,4,Advanced,Quick Learner,Multiple Short Sessions per Day
711,German Shepherd,3,Off Leash Sit Stay,3,Advanced,Working on Tricks,Multiple Short Sessions per Day
712,Pomeranian,20,Heel,4,Advanced,Confident Learner,Multiple Short Sessions per Day
713,Labrador Retriever,10,Off Leash Sit Stay,3.3,Advanced,Quick Learner,Multiple Short Sessions per Day
714,Aspin,19,Down Stay,4.3,Advanced,Needs More Guidance,Long Sessions
715,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
716,Aspin,15,Off Leash Sit,4.2,Basic,Focused but Distractible,Medium Sessions
717,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
718,Pug,6,Loose Leash Walking,2,Intermediate,Focused but Distractible,Short Sessions
719,Shih Tzu,18,Long Stay Off Leash,4,Advanced,Needs More Guidance,Multiple Short Sessions per Day
720,Golden Retriever,10,On and Off Sight Stay,2,Basic,Quick Learner,Medium Sessions
721,Shih Tzu,17,Off Leash Down Stay,3,Advanced,Quick Learner,Medium Sessions
722,Labrador Retriever,6,Off Leash Sit,2,Basic,Very Responsive,Medium Sessions
723,Pomeranian,15,Off Leash Down Stay,4,Advanced,Quick Learner,Multiple Short Sessions per Day
724,German Shepherd,3,Off Leash Sit Stay,3,Intermediate,Working on Tricks,Multiple Short Sessions per Day
725,Pomeranian,20,Heel,4,Advanced,Confident Learner,Multiple Short Sessions per Day
726,Labrador Retriever,10,Off Leash Sit Stay,3.3,Basic,Quick Learner,Multiple Short Sessions per Day
727,Aspin,19,Down Stay,4.3,Advanced,Needs More Guidance,Long Sessions
728,Siberian Husky,6,Off Leash Sit Stay,2.9,Advanced,Confident Learner,Multiple Short Sessions per Day
729,Beagle,18,Shake Hands,4,Advanced,Focused but Distractible,Multiple Short Sessions per Day
730,Golden Retriever,21,On and Off Sight Stay,3.7,Advanced,Confident Learner,No strict preference
731,Shih Tzu,16,Off Leash Down,2.3,Advanced,Working on Tricks,Long Sessions
732,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
733,Aspin,15,Off Leash Sit,4.2,Basic,Focused but Distractible,Medium Sessions
734,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
735,Pug,6,Loose Leash Walking,2,Intermediate,Focused but Distractible,Short Sessions
736,Shih Tzu,18,Long Stay Off Leash,4,Advanced,Needs More Guidance,Multiple Short Sessions per Day
737,Golden Retriever,10,On and Off Sight Stay,2,Basic,Quick Learner,Medium Sessions
738,Shih Tzu,17,Off Leash Down Stay,3,Advanced,Quick Learner,Medium Sessions
739,Labrador Retriever,6,Off Leash Sit,2,Basic,Very Responsive,Medium Sessions
740,Pomeranian,15,Off Leash Down Stay,4,Advanced,Quick Learner,Multiple Short Sessions per Day
741,German Shepherd,3,Off Leash Sit Stay,3,Intermediate,Working on Tricks,Multiple Short Sessions per Day
742,Pomeranian,20,Heel,4,Advanced,Confident Learner,Multiple Short Sessions per Day
743,Labrador Retriever,10,Off Leash Sit Stay,3.3,Basic,Quick Learner,Multiple Short Sessions per Day
744,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
745,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
746,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
747,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
748,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
749,Pug,6,Loose Leash Walking,2,Basic,Focused but Distractible,Short Sessions
750,Shih Tzu,18,Long Stay Off Leash,4,Advanced,Needs More Guidance,Multiple Short Sessions per Day
751,Golden Retriever,10,On and Off Sight Stay,2,Intermediate,Quick Learner,Medium Sessions
752,Shih Tzu,17,Off Leash Down Stay,3,Advanced,Quick Learner,Medium Sessions
753,Labrador Retriever,6,Off Leash Sit,2,Advanced,Very Responsive,Medium Sessions
754,Pomeranian,15,Off Leash Down Stay,4,Advanced,Quick Learner,Multiple Short Sessions per Day
755,German Shepherd,3,Off Leash Sit Stay,3,Advanced,Working on Tricks,Multiple Short Sessions per Day
756,Pomeranian,20,Heel,4,Basic,Confident Learner,Multiple Short Sessions per Day
757,Labrador Retriever,10,Off Leash Sit Stay,3.3,Advanced,Quick Learner,Multiple Short Sessions per Day
758,Aspin,19,Down Stay,4.3,Intermediate,Needs More Guidance,Long Sessions
759,Siberian Husky,6,Off Leash Sit Stay,2.9,Advanced,Confident Learner,Multiple Short Sessions per Day
760,Beagle,18,Shake Hands,4,Basic,Focused but Distractible,Multiple Short Sessions per Day
761,Golden Retriever,21,On and Off Sight Stay,3.7,Advanced,Confident Learner,No strict preference
762,Shih Tzu,16,Off Leash Down,2.3,Basic,Working on Tricks,Long Sessions
763,Rottweiler,8,Off Leash Commands,5,Advanced,Very Responsive,Multiple Short Sessions per Day
764,Golden Retriever,10,Off Leash Commands,5,Intermediate,Working on Tricks,Long Sessions
765,Golden Retriever,10,On and Off Sight Stay,2,Advanced,Quick Learner,Medium Sessions
766,Shih Tzu,17,Off Leash Down Stay,3,Basic,Quick Learner,Medium Sessions
767,Labrador Retriever,6,Off Leash Sit,2,Advanced,Very Responsive,Medium Sessions
768,Pomeranian,15,Off Leash Down Stay,4,Advanced,Quick Learner,Multiple Short Sessions per Day
769,German Shepherd,3,Off Leash Sit Stay,3,Advanced,Working on Tricks,Multiple Short Sessions per Day
770,Pomeranian,20,Heel,4,Intermediate,Confident Learner,Multiple Short Sessions per Day
771,Labrador Retriever,10,Off Leash Sit Stay,3.3,Intermediate,Quick Learner,Multiple Short Sessions per Day
772,Aspin,19,Down Stay,4.3,Advanced,Needs More Guidance,Long Sessions
773,Siberian Husky,6,Off Leash Sit Stay,2.9,Advanced,Confident Learner,Multiple Short Sessions per Day
774,Beagle,18,Shake Hands,4,Advanced,Focused but Distractible,Multiple Short Sessions per Day
775,Golden Retriever,21,On and Off Sight Stay,3.7,Advanced,Confident Learner,No strict preference
776,Bulldog,20,Off Leash Down Stay,5,Basic,Working on Tricks,Long Sessions
777,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
778,German Shepherd,17,Roll Over,3.1,Intermediate,Focused but Distractible,Multiple Short Sessions per Day
779,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
780,Shih Tzu,18,Long Stay Off Leash,4,Basic,Needs More Guidance,Multiple Short Sessions per Day
781,Golden Retriever,10,On and Off Sight Stay,2,Advanced,Quick Learner,Medium Sessions
782,Shih Tzu,17,Off Leash Down Stay,3,Basic,Quick Learner,Medium Sessions
783,Labrador Retriever,6,Off Leash Sit,2,Advanced,Very Responsive,Medium Sessions
784,Pomeranian,15,Off Leash Down Stay,4,Intermediate,Quick Learner,Multiple Short Sessions per Day
785,German Shepherd,3,Off Leash Sit Stay,3,Advanced,Working on Tricks,Multiple Short Sessions per Day
786,Pomeranian,20,Heel,4,Basic,Confident Learner,Multiple Short Sessions per Day
787,Bulldog,20,Off Leash Down Stay,5,Advanced,Working on Tricks,Long Sessions
788,Aspin,15,Off Leash Sit,4.2,Advanced,Focused but Distractible,Medium Sessions
789,German Shepherd,17,Roll Over,3.1,Advanced,Focused but Distractible,Multiple Short Sessions per Day
790,Pug,6,Loose Leash Walking,2,Advanced,Focused but Distractible,Short Sessions
791,Shih Tzu,18,Long Stay Off Leash,4,Advanced,Needs More Guidance,Multiple Short Sessions per Day
792,Golden Retriever,10,On and Off Sight Stay,2,Basic,Quick Learner,Medium Sessions
793,Shih Tzu,17,Off Leash Down Stay,3,Advanced,Quick Learner,Medium Sessions
794,Labrador Retriever,6,Off Leash Sit,2,Intermediate,Very Responsive,Medium Sessions
795,Pomeranian,15,Off Leash Down Stay,4,Advanced,Quick Learner,Multiple Short Sessions per Day
796,German Shepherd,3,Off Leash Sit Stay,3,Basic,Working on Tricks,Multiple Short Sessions per Day
797,Pomeranian,20,Heel,4,Advanced,Confident Learner,Multiple Short Sessions per Day
798,Labrador Retriever,10,Off Leash Sit Stay,3.3,Basic,Quick Learner,Multiple Short Sessions per Day
799,Aspin,19,Down Stay,4.3,Advanced,Needs More Guidance,Long Sessions
800,Dalmatian,16,Off Leash Sit,2,Advanced,Focused but Distractible,Multiple Short Sessions per Day
801,German Shepherd,20,Off Leash Sit,3.3,Advanced,Focused but Distractible,Long Sessions
802,Poodle,1,Sit,3,Basic,Needs More Guidance,Medium Sessions
803,Chihuahua,9,Fetch,3,Intermediate,Quick Learner,No strict preference
804,Beagle,22,Off Leash Down Stay,3.4,Advanced,Quick Learner,Short Sessions
805,German Shepherd,8,Play Dead,4,Intermediate,Very Responsive,Long Sessions
806,Pug,21,Off Leash Sit,4,Advanced,Quick Learner,Short Sessions
807,Dalmatian,6,Heel,5,Basic,Working on Tricks,Multiple Short Sessions per Day
808,Golden Retriever,15,On and Off Sight Stay,4.9,Advanced,Confident Learner,Long Sessions
809,Chihuahua,3,Sit,5,Basic,Quick Learner,Medium Sessions
810,Labrador Retriever,20,Off Leash Sit Stay,5,Advanced,Needs More Guidance,Multiple Short Sessions per Day
811,Chihuahua,10,Shake Hands,4,Intermediate,Confident Learner,No strict preference
812,Golden Retriever,19,Long Stay Off Leash,1.6,Advanced,Focused but Distractible,Long Sessions
813,Dalmatian,16,Off Leash Sit,2,Advanced,Focused but Distractible,Multiple Short Sessions per Day
814,German Shepherd,20,Off Leash Sit,3.3,Advanced,Focused but Distractible,Long Sessions
815,Poodle,1,Sit,3,Basic,Needs More Guidance,Medium Sessions
816,Chihuahua,9,Fetch,3,Intermediate,Quick Learner,No strict preference
817,Beagle,22,Off Leash Down Stay,3.4,Advanced,Quick Learner,Short Sessions
818,German Shepherd,8,Play Dead,4,Intermediate,Very Responsive,Long Sessions
819,Pug,21,Off Leash Sit,4,Advanced,Quick Learner,Short Sessions
820,Dalmatian,6,Heel,5,Basic,Working on Tricks,Multiple Short Sessions per Day
821,Golden Retriever,15,On and Off Sight Stay,4.9,Advanced,Confident Learner,Long Sessions
822,Chihuahua,3,Sit,5,Basic,Quick Learner,Medium Sessions
823,Labrador Retriever,20,Off Leash Sit Stay,5,Advanced,Needs More Guidance,Multiple Short Sessions per Day
824,Chihuahua,10,Shake Hands,4,Intermediate,Confident Learner,No strict preference
825,Golden Retriever,19,Long Stay Off Leash,1.6,Advanced,Focused but Distractible,Long Sessions
826,Pomeranian,6,Sit Stay,4.4,Basic,Confident Learner,Medium Sessions
827,Pomeranian,18,Long Stay Off Leash,4,Advanced,Working on Tricks,Multiple Short Sessions per Day
828,Dalmatian,21,Off Leash Down Stay,4.3,Advanced,Very Responsive,Short Sessions
829,Chihuahua,16,Off Leash Sit,2.9,Advanced,Working on Tricks,Multiple Short Sessions per Day
830,Beagle,8,Roll Over,4,Intermediate,Focused but Distractible,Medium Sessions
831,Beagle,10,Loose Leash Walking,3.7,Intermediate,Focused but Distractible,Medium Sessions
832,Pug,20,Long Stay Off Leash,2.3,Advanced,Very Responsive,Medium Sessions
833,Pomeranian,19,On and Off Sight Stay,5,Advanced,Working on Tricks,Multiple Short Sessions per Day
834,Rottweiler,18,Off Leash Down Stay,5,Advanced,Focused but Distractible,Multiple Short Sessions per Day
835,Dalmatian,16,Off Leash Sit,2,Advanced,Focused but Distractible,Multiple Short Sessions per Day
836,German Shepherd,20,Off Leash Sit,3.3,Advanced,Focused but Distractible,Long Sessions
837,Poodle,14,Sit,3,Basic,Needs More Guidance,Medium Sessions
838,Chihuahua,9,Fetch,3,Intermediate,Quick Learner,No strict preference
839,Beagle,22,Off Leash Down Stay,3.4,Advanced,Quick Learner,Short Sessions
840,German Shepherd,8,Play Dead,4,Intermediate,Very Responsive,Long Sessions
841,Pug,21,Off Leash Sit,4.3,Advanced,Quick Learner,Short Sessions
842,Dalmatian,6,Heel,5,Basic,Working on Tricks,Multiple Short Sessions per Day
843,Golden Retriever,15,On and Off Sight Stay,4.9,Advanced,Confident Learner,Long Sessions
844,Chihuahua,3,Sit,5,Basic,Quick Learner,Medium Sessions
845,Labrador Retriever,20,Off Leash Sit Stay,5,Advanced,Needs More Guidance,Multiple Short Sessions per Day
846,Chihuahua,10,Shake Hands,4.5,Intermediate,Confident Learner,No strict preference
847,Golden Retriever,19,Long Stay Off Leash,1.6,Advanced,Focused but Distractible,Long Sessions
848,Pomeranian,6,Sit Stay,4.4,Basic,Confident Learner,Medium Sessions
849,Pomeranian,18,Long Stay Off Leash,4,Advanced,Working on Tricks,Multiple Short Sessions per Day
850,Dalmatian,21,Off Leash Down Stay,4.3,Advanced,Very Responsive,Short Sessions
851,Chihuahua,16,Off Leash Sit,2.9,Advanced,Working on Tricks,Multiple Short Sessions per Day
852,Beagle,8,Roll Over,4,Intermediate,Focused but Distractible,Medium Sessions
853,Beagle,10,Loose Leash Walking,3.7,Intermediate,Focused but Distractible,Medium Sessions
854,Dalmatian,16,Off Leash Sit,2,Advanced,Focused but Distractible,Multiple Short Sessions per Day
855,German Shepherd,20,Off Leash Sit,3.3,Advanced,Focused but Distractible,Long Sessions
856,Poodle,1,Sit,3,Basic,Needs More Guidance,Medium Sessions
857,Chihuahua,9,Fetch,3,Intermediate,Quick Learner,No strict preference
858,Beagle,22,Off Leash Down Stay,3.4,Advanced,Quick Learner,Short Sessions
859,German Shepherd,8,Play Dead,4,Intermediate,Very Responsive,Long Sessions
860,Pug,21,Off Leash Sit,4,Advanced,Quick Learner,Short Sessions
861,Dalmatian,6,Heel,5,Basic,Working on Tricks,Multiple Short Sessions per Day
862,Golden Retriever,15,On and Off Sight Stay,4.9,Advanced,Confident Learner,Long Sessions
863,Chihuahua,3,Sit,5,Basic,Quick Learner,Medium Sessions
864,Labrador Retriever,20,Off Leash Sit Stay,5,Advanced,Needs More Guidance,Multiple Short Sessions per Day
865,Chihuahua,10,Shake Hands,4,Intermediate,Confident Learner,No strict preference
866,Golden Retriever,19,Long Stay Off Leash,1.6,Advanced,Focused but Distractible,Long Sessions
867,Pomeranian,6,Sit Stay,4.4,Basic,Confident Learner,Medium Sessions
868,Pomeranian,18,Long Stay Off Leash,4,Advanced,Working on Tricks,Multiple Short Sessions per Day
869,Dalmatian,21,Off Leash Down Stay,4.3,Advanced,Very Responsive,Short Sessions
870,Chihuahua,16,Off Leash Sit,2.9,Advanced,Working on Tricks,Multiple Short Sessions per Day
871,Beagle,8,Roll Over,4,Intermediate,Focused but Distractible,Medium Sessions
872,Beagle,10,Loose Leash Walking,3.7,Intermediate,Focused but Distractible,Medium Sessions
873,Pug,20,Long Stay Off Leash,2.3,Advanced,Very Responsive,Medium Sessions
874,Pomeranian,19,On and Off Sight Stay,5,Advanced,Working on Tricks,Multiple Short Sessions per Day
875,Dalmatian,16,Off Leash Sit,2,Advanced,Focused but Distractible,Multiple Short Sessions per Day
876,German Shepherd,20,Off Leash Sit,3.3,Advanced,Focused but Distractible,Long Sessions
877,Poodle,9,Sit,3,Basic,Needs More Guidance,Medium Sessions
878,Chihuahua,9,Fetch,3,Intermediate,Quick Learner,No strict preference
879,Beagle,22,Off Leash Down Stay,3.4,Advanced,Quick Learner,Short Sessions
880,German Shepherd,8,Play Dead,4,Intermediate,Very Responsive,Long Sessions
881,Pug,21,Off Leash Sit,4,Advanced,Quick Learner,Short Sessions
882,Dalmatian,6,Heel,5,Basic,Working on Tricks,Multiple Short Sessions per Day
883,Golden Retriever,15,On and Off Sight Stay,4.9,Advanced,Confident Learner,Long Sessions
884,Chihuahua,3,Sit,5,Basic,Quick Learner,Medium Sessions
885,Labrador Retriever,20,Off Leash Sit Stay,5,Advanced,Needs More Guidance,Multiple Short Sessions per Day
886,Chihuahua,10,Shake Hands,4,Intermediate,Confident Learner,No strict preference
887,Golden Retriever,19,Long Stay Off Leash,1.6,Advanced,Focused but Distractible,Long Sessions
888,Pomeranian,6,Sit Stay,4.4,Basic,Confident Learner,Medium Sessions
889,Pomeranian,18,Long Stay Off Leash,4,Advanced,Working on Tricks,Multiple Short Sessions per Day
890,Dalmatian,21,Off Leash Down Stay,4.3,Advanced,Very Responsive,Short Sessions
891,Chihuahua,16,Off Leash Sit,2.9,Advanced,Working on Tricks,Multiple Short Sessions per Day
892,Beagle,8,Roll Over,4,Intermediate,Focused but Distractible,Medium Sessions
893,Beagle,10,Loose Leash Walking,3.7,Intermediate,Focused but Distractible,Medium Sessions
894,Pug,20,Long Stay Off Leash,2.3,Advanced,Very Responsive,Medium Sessions
895,Dalmatian,16,Off Leash Sit,2,Advanced,Focused but Distractible,Multiple Short Sessions per Day
896,German Shepherd,20,Off Leash Sit,3.3,Advanced,Focused but Distractible,Long Sessions
897,Poodle,1,Sit,3.2,Basic,Needs More Guidance,Medium Sessions
898,Chihuahua,9,Fetch,3,Intermediate,Quick Learner,No strict preference
899,Beagle,22,Off Leash Down Stay,3.4,Advanced,Quick Learner,Short Sessions
900,German Shepherd,8,Play Dead,4,Intermediate,Very Responsive,Long Sessions
901,Pug,21,Off Leash Sit,4.4,Advanced,Quick Learner,Short Sessions
902,Dalmatian,6,Heel,5,Basic,Working on Tricks,Multiple Short Sessions per Day
903,Golden Retriever,15,On and Off Sight Stay,4.9,Advanced,Confident Learner,Long Sessions
904,Chihuahua,3,Sit,5,Basic,Quick Learner,Medium Sessions
905,Labrador Retriever,20,Off Leash Sit Stay,5,Advanced,Needs More Guidance,Multiple Short Sessions per Day
906,Chihuahua,10,Shake Hands,4,Intermediate,Confident Learner,No strict preference
907,Dalmatian,16,Off Leash Sit,2,Advanced,Focused but Distractible,Multiple Short Sessions per Day
908,German Shepherd,20,Off Leash Sit,3.3,Advanced,Focused but Distractible,Long Sessions
909,Poodle,11,Sit,3.6,Basic,Needs More Guidance,Medium Sessions
910,Chihuahua,9,Fetch,3,Intermediate,Quick Learner,No strict preference
911,Beagle,22,Off Leash Down Stay,3.4,Advanced,Quick Learner,Short Sessions
912,German Shepherd,8,Play Dead,4,Intermediate,Very Responsive,Long Sessions
913,Pug,21,Off Leash Sit,4,Advanced,Quick Learner,Short Sessions
914,Dalmatian,6,Heel,5,Basic,Working on Tricks,Multiple Short Sessions per Day
915,Golden Retriever,15,On and Off Sight Stay,4.9,Advanced,Confident Learner,Long Sessions
916,Chihuahua,3,Sit,5,Basic,Quick Learner,Medium Sessions
917,Labrador Retriever,20,Off Leash Sit Stay,5,Advanced,Needs More Guidance,Multiple Short Sessions per Day
918,Chihuahua,10,Shake Hands,4,Intermediate,Confident Learner,No strict preference
919,Golden Retriever,19,Long Stay Off Leash,1.6,Advanced,Focused but Distractible,Long Sessions
920,Pomeranian,6,Sit Stay,4.4,Basic,Confident Learner,Medium Sessions
921,Dalmatian,16,Off Leash Sit,2,Advanced,Focused but Distractible,Multiple Short Sessions per Day
922,German Shepherd,20,Off Leash Sit,3.3,Advanced,Focused but Distractible,Long Sessions
923,Poodle,6,Sit,3.8,Basic,Needs More Guidance,Medium Sessions
924,Chihuahua,9,Fetch,3,Intermediate,Quick Learner,No strict preference
925,Beagle,22,Off Leash Down Stay,3.4,Advanced,Quick Learner,Short Sessions
926,German Shepherd,8,Play Dead,4,Intermediate,Very Responsive,Long Sessions
927,Pug,21,Off Leash Sit,4,Advanced,Quick Learner,Short Sessions
928,Dalmatian,6,Heel,5,Basic,Working on Tricks,Multiple Short Sessions per Day
